iter	Passed	Remaining
0	15	15043
1	29	14661
2	45	15263
3	63	15736
4	80	15949
5	96	16028
6	113	16090
7	129	16031
8	145	16039
9	164	16250
10	180	16228
11	196	16198
12	214	16284
13	228	16080
14	243	16009
15	258	15907
16	272	15741
17	286	15614
18	300	15533
19	314	15423
20	329	15340
21	343	15282
22	358	15239
23	373	15197
24	390	15224
25	406	15246
26	423	15279
27	439	15250
28	454	15205
29	471	15236
30	488	15271
31	503	15223
32	519	15214
33	535	15206
34	552	15244
35	567	15202
36	582	15160
37	596	15107
38	610	15046
39	624	14999
40	638	14943
41	652	14886
42	666	14837
43	681	14803
44	696	14787
45	712	14784
46	729	14794
47	746	14805
48	762	14793
49	777	14778
50	792	14755
51	808	14748
52	825	14745
53	840	14718
54	855	14702
55	870	14680
56	885	14644
57	899	14605
58	912	14559
59	927	14526
60	940	14483
61	954	14446
62	969	14423
63	985	14418
64	1001	14408
65	1016	14386
66	1032	14374
67	1047	14353
68	1065	14372
69	1082	14375
70	1096	14352
71	1113	14350
72	1130	14350
73	1145	14334
74	1159	14304
75	1176	14307
76	1190	14270
77	1204	14234
78	1217	14195
79	1231	14160
80	1245	14130
81	1260	14108
82	1274	14082
83	1290	14076
84	1306	14063
85	1324	14072
86	1340	14065
87	1356	14062
88	1372	14047
89	1390	14060
90	1406	14053
91	1423	14053
92	1439	14043
93	1454	14023
94	1470	14006
95	1484	13974
96	1498	13952
97	1512	13921
98	1526	13896
99	1542	13879
100	1556	13850
101	1571	13832
102	1586	13817
103	1601	13796
104	1616	13782
105	1633	13778
106	1648	13759
107	1664	13745
108	1680	13737
109	1697	13734
110	1712	13718
111	1727	13696
112	1741	13671
113	1755	13642
114	1769	13617
115	1783	13594
116	1799	13583
117	1818	13591
118	1833	13575
119	1850	13568
120	1867	13562
121	1882	13551
122	1898	13534
123	1913	13521
124	1931	13517
125	1947	13505
126	1962	13488
127	1979	13483
128	1993	13462
129	2009	13446
130	2023	13421
131	2037	13397
132	2051	13373
133	2065	13348
134	2080	13328
135	2094	13304
136	2108	13280
137	2122	13259
138	2136	13235
139	2150	13212
140	2165	13190
141	2180	13174
142	2194	13151
